mass_A
t	x	y
1,066348889E1	-3,231208134E1	5,263253176E1
1,069681111E1	-3,228380337E1	5,268345512E1
1,073013333E1	-3,230688164E1	5,266068465E1
1,076344444E1	-3,228982716E1	5,268146184E1
1,079677778E1	-3,230225222E1	5,266656250E1
1,083011111E1	-3,229682251E1	5,267446986E1
1,086342222E1	-3,229974655E1	5,266847005E1
1,089674444E1	-3,229886017E1	5,266922423E1
1,093006667E1	-3,229878913E1	5,267125357E1
1,096340000E1	-3,229952714E1	5,267005426E1
1,099672222E1	-3,229887898E1	5,267176239E1
1,103004444E1	-3,270537173E1	5,505335660E1
1,106348889E1	-3,314090917E1	5,770429553E1
1,109668889E1	-3,533843824E1	6,859671472E1
1,113002222E1	-4,191424771E1	9,167528534E1
1,116333333E1	-4,276480487E1	9,411772260E1
1,119665556E1	-4,271398453E1	9,385529160E1
1,122998889E1	-4,274596755E1	9,405080670E1
1,126331111E1	-4,286383037E1	9,433430435E1
1,129663333E1	-4,286182299E1	9,435438057E1
1,132994444E1	-4,286921165E1	9,434800716E1
1,136332222E1	-4,286576550E1	9,435399137E1
1,139660000E1	-4,286863565E1	9,434915874E1
1,142993333E1	-4,286755784E1	9,435111460E1
1,146324444E1	-4,286831401E1	9,434499480E1
1,149662222E1	-4,286586114E1	9,434717985E1
1,152990000E1	-4,287034276E1	9,434521780E1
1,156321111E1	-4,286878743E1	9,434756224E1
1,159653333E1	-4,286416555E1	9,434731075E1
1,162986667E1	-4,279162060E1	9,416254514E1
1,166318889E1	-4,188578408E1	9,160676510E1
1,169652222E1	-3,869335166E1	8,159917532E1
1,172983333E1	-3,285286899E1	5,545685687E1
1,176316667E1	-3,268091373E1	5,553893260E1
1,179657778E1	-3,272942146E1	5,526648833E1
1,182981111E1	-3,268611494E1	5,540077871E1
1,186313333E1	-3,272674123E1	5,526573675E1
1,189644444E1	-3,268995819E1	5,536258732E1
1,192977778E1	-3,271989376E1	5,527021753E1
1,196310000E1	-3,269243965E1	5,532395127E1
1,199642222E1	-3,271764722E1	5,527507205E1
1,202974444E1	-3,269996593E1	5,530844902E1
1,206306667E1	-3,271360863E1	5,528608589E1
1,209638889E1	-3,270618637E1	5,530493867E1
1,212972222E1	-3,271113343E1	5,529317765E1
1,216304444E1	-3,271207793E1	5,528445313E1
1,219636667E1	-3,272333359E1	5,542435749E1
1,222968889E1	-3,305758139E1	5,752201688E1
1,226300000E1	-3,500234894E1	6,679986153E1
1,229641111E1	-3,784878913E1	7,888833362E1
1,232965556E1	-4,252663914E1	9,330137813E1
1,236298889E1	-4,274980756E1	9,413732281E1
1,239630000E1	-4,278002354E1	9,413643529E1
1,242968889E1	-4,276432348E1	9,421893506E1
1,246295556E1	-4,277672196E1	9,415032088E1
1,249626667E1	-4,276988044E1	9,420584758E1
1,252961111E1	-4,288396590E1	9,432595412E1
1,256291111E1	-4,289767344E1	9,443040412E1
1,259624444E1	-4,290108465E1	9,441140360E1
1,262960000E1	-4,289766599E1	9,441859227E1
1,266288889E1	-4,289733754E1	9,441641500E1
1,269625556E1	-4,289919492E1	9,442219042E1
1,272953333E1	-4,289838314E1	9,442411370E1
1,276286667E1	-4,289804654E1	9,442043488E1
1,279618889E1	-4,289699938E1	9,442195757E1
1,282951111E1	-4,234966396E1	9,287481046E1
1,286283333E1	-4,045900580E1	8,704022511E1
1,289615556E1	-3,554253636E1	7,039178034E1
1,292947778E1	-3,250837178E1	5,405838495E1
1,296280000E1	-3,231737861E1	5,265581825E1
1,299612222E1	-3,231120451E1	5,294450867E1
1,302951111E1	-3,232237017E1	5,290046985E1
1,306277778E1	-3,231032118E1	5,292949572E1
1,309615556E1	-3,232561356E1	5,290256375E1
1,312956667E1	-3,230650385E1	5,292191480E1
1,316273333E1	-3,232793257E1	5,290193758E1
1,319606667E1	-3,230718945E1	5,294768493E1
1,322938889E1	-3,232827350E1	5,290491282E1
1,326271111E1	-3,230911623E1	5,293824094E1
1,329603333E1	-3,232697940E1	5,290588235E1
1,332935556E1	-3,230729614E1	5,294179578E1
1,336267778E1	-3,232466670E1	5,291302498E1
1,339600000E1	-3,233056922E1	5,304724043E1
1,342933333E1	-3,277576551E1	5,557698899E1
1,346265556E1	-3,499265838E1	6,688241870E1
1,349597778E1	-4,009564370E1	8,627395411E1
1,352930000E1	-4,198350196E1	9,187485243E1
1,356263333E1	-4,251349613E1	9,339929406E1
1,359595556E1	-4,273117186E1	9,401807796E1
1,362926667E1	-4,277399267E1	9,417328615E1
1,366258889E1	-4,292552580E1	9,445676434E1
1,369592222E1	-4,292354310E1	9,445643275E1
1,372924444E1	-4,291993938E1	9,446549550E1
1,376256667E1	-4,292421277E1	9,445769827E1
1,379590000E1	-4,292513724E1	9,445692353E1
1,382921111E1	-4,292545074E1	9,445274357E1
1,386253333E1	-4,292544601E1	9,445711339E1
1,389585556E1	-4,292583820E1	9,445485088E1
1,392916667E1	-4,292577926E1	9,446203338E1
1,396250000E1	-4,292666529E1	9,445675883E1
1,399583333E1	-4,292591949E1	9,445946714E1
1,402914444E1	-4,252508439E1	9,335382815E1
1,406247778E1	-4,110759177E1	8,895424086E1
1,409580000E1	-3,743923444E1	7,773724740E1
1,412913333E1	-3,327445066E1	5,812532687E1
1,416244444E1	-3,298585909E1	5,742922585E1
1,419576667E1	-3,312505492E1	5,745063997E1
1,422908889E1	-3,301823656E1	5,748916249E1
1,426242222E1	-3,311064677E1	5,746063482E1
1,429574444E1	-3,306926529E1	5,748681406E1
1,432906667E1	-3,310194625E1	5,746799513E1
1,436241111E1	-3,309803588E1	5,746954891E1
1,439571111E1	-3,309086199E1	5,747550734E1
1,442903333E1	-3,310267613E1	5,746734815E1
1,446234444E1	-3,308444932E1	5,748134123E1
1,449567778E1	-3,310301692E1	5,746885880E1
1,452900000E1	-3,308066095E1	5,748523271E1
1,456231111E1	-3,311167055E1	5,745890180E1
1,459566667E1	-3,310357477E1	5,759234995E1
1,462896667E1	-3,376209854E1	6,120875680E1
1,466230000E1	-3,521952165E1	6,782582166E1
1,469562222E1	-4,130624865E1	8,992255122E1
1,472893333E1	-4,257787677E1	9,351406547E1
1,476226667E1	-4,272216399E1	9,394359341E1
1,479558889E1	-4,273854215E1	9,402591442E1
1,482891111E1	-4,288205585E1	9,435815653E1
1,486223333E1	-4,288658317E1	9,435196132E1
1,489555556E1	-4,288684737E1	9,435121692E1
1,492887778E1	-4,288709576E1	9,435272076E1
1,496222222E1	-4,288527014E1	9,435336139E1
1,499552222E1	-4,288175877E1	9,435715312E1
1,502884444E1	-4,288169408E1	9,435587244E1
1,506216667E1	-4,288876194E1	9,437238323E1
1,509550000E1	-4,293218246E1	9,449313176E1
1,512882222E1	-4,293178528E1	9,449680851E1
1,516216667E1	-4,293119407E1	9,448903693E1
1,519547778E1	-4,289302369E1	9,436434028E1
1,522878889E1	-4,192044615E1	9,162798623E1
1,526213333E1	-3,971295933E1	8,481682201E1
1,529543333E1	-3,287586571E1	5,534023447E1
1,532876667E1	-3,250807786E1	5,421132219E1
1,536208889E1	-3,248417881E1	5,322578501E1
1,539542222E1	-3,233154334E1	5,326082364E1
1,542873333E1	-3,246760723E1	5,323706896E1
1,546205556E1	-3,233239468E1	5,327177059E1
1,549537778E1	-3,246274098E1	5,325013027E1
1,552874444E1	-3,234375135E1	5,326452725E1
1,556202222E1	-3,245032968E1	5,324609793E1
1,559534444E1	-3,235425119E1	5,326407314E1
1,562867778E1	-3,245799416E1	5,325746420E1
1,566198889E1	-3,237818945E1	5,325064657E1
1,569537778E1	-3,242471710E1	5,326268812E1
1,572863333E1	-3,240558487E1	5,324571113E1
1,576196667E1	-3,241215640E1	5,326102173E1
